Foundation URI,Linearization URI,Code,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,Version:2025 Jan 24 - 22:30 UTC
http://id.who.int/icd/entity/306281816,http://id.who.int/icd/release/11/mms/306281816,EL73,Unsatisfactory outcome from Cutaneous cosmetic surgical procedure,category,1,FALSE,14,browser,FALSE,TRUE,BlockL1-EL5,BlockL2-EL7,,,,
http://id.who.int/icd/entity/454986913,http://id.who.int/icd/release/11/mms/454986913,EL73.0,Adverse reaction to dermal or Deep fillers,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,BlockL2-EL7,,,,
http://id.who.int/icd/entity/845019130,http://id.who.int/icd/release/11/mms/845019130,EL73.1,Adverse reaction to chemical peel,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,BlockL2-EL7,,,,
http://id.who.int/icd/entity/768286286,http://id.who.int/icd/release/11/mms/768286286,EL73.2,Adverse reaction to injection of neurotoxin,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,BlockL2-EL7,,,,
http://id.who.int/icd/entity/989988365,http://id.who.int/icd/release/11/mms/989988365,EL73.3,Unsatisfactory outcome from cosmetic laser surgery,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,BlockL2-EL7,,,,
http://id.who.int/icd/entity/311281450,http://id.who.int/icd/release/11/mms/311281450,EL73.4,Hypomelanosis resulting from cosmetic procedure,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,BlockL2-EL7,,,,
http://id.who.int/icd/entity/1496881539,http://id.who.int/icd/release/11/mms/1496881539,EL73.5,Dyspigmentation resulting from cosmetic procedure,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,BlockL2-EL7,,,,
http://id.who.int/icd/entity/1026082070,http://id.who.int/icd/release/11/mms/1026082070,EL73.6,Fibrosis or Scarring following cosmetic procedure,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,BlockL2-EL7,,,,
http://id.who.int/icd/entity/778830229,http://id.who.int/icd/release/11/mms/778830229,EL80,Adverse Cutaneous effects of diagnostic procedures,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,,,,,
,http://id.who.int/icd/release/11/mms/1639304259/other,EM0Y,other specified diseases of the skin,category,1,TRUE,14,browser,TRUE,TRUE,,,,,,
,http://id.who.int/icd/release/11/mms/1639304259/unspecified,EM0Z,skin disease of unspecified nature,category,1,TRUE,14,browser,TRUE,TRUE,,,,,,
http://id.who.int/icd/entity/1473673350,http://id.who.int/icd/release/11/mms/1473673350,0,Diseases of the musculoskeletal system or connective tissue,chapter,1,FALSE,15,browser,FALSE,,,,,,,
http://id.who.int/icd/entity/1525792972,http://id.who.int/icd/release/11/mms/1525792972,BlockL1-FA0,Arthropathies,block,1,FALSE,15,browser,FALSE,,,,,,,
http://id.who.int/icd/entity/558562409,http://id.who.int/icd/release/11/mms/558562409,BlockL2-FA0,Osteoarthritis,block,2,FALSE,15,browser,FALSE,,BlockL1-FA0,,,,,
http://id.who.int/icd/entity/20048211,http://id.who.int/icd/release/11/mms/20048211,FA00,Osteoarthritis of hip,category,1,FALSE,15,browser,FALSE,TRUE,BlockL1-FA0,BlockL2-FA0,,,,
http://id.who.int/icd/entity/296043888,http://id.who.int/icd/release/11/mms/296043888,FA00.0,Primary Osteoarthritis of hip,category,2,FALSE,15,browser,TRUE,TRUE,BlockL1-FA0,BlockL2-FA0,,,,
http://id.who.int/icd/entity/1853595361,http://id.who.int/icd/release/11/mms/1853595361,FA00.1,Post traumatic Osteoarthritis of hip,category,2,FALSE,15,browser,TRUE,TRUE,BlockL1-FA0,BlockL2-FA0,,,,
http://id.who.int/icd/entity/2125530967,http://id.who.int/icd/release/11/mms/2125530967,FA00.2,other Secondary Osteoarthritis of hip,category,2,FALSE,15,browser,TRUE,TRUE,BlockL1-FA0,BlockL2-FA0,,,,
,http://id.who.int/icd/release/11/mms/20048211/unspecified,FA00.Z,"Osteoarthritis of hip, unspecified",category,2,TRUE,15,browser,TRUE,TRUE,BlockL1-FA0,BlockL2-FA0,,,,
http://id.who.int/icd/entity/1685726407,http://id.who.int/icd/release/11/mms/1685726407,FA01,Osteoarthritis of knee,category,1,FALSE,15,browser,FALSE,TRUE,BlockL1-FA0,BlockL2-FA0,,,,
http://id.who.int/icd/entity/1196073446,http://id.who.int/icd/release/11/mms/1196073446,FA01.0,Primary Osteoarthritis of knee,category,2,FALSE,15,browser,TRUE,TRUE,BlockL1-FA0,BlockL2-FA0,,,,
http://id.who.int/icd/entity/419514631,http://id.who.int/icd/release/11/mms/419514631,FA01.1,Post traumatic Osteoarthritis of knee,category,2,FALSE,15,browser,TRUE,TRUE,BlockL1-FA0,BlockL2-FA0,,,,
